id,name,col1,col2,col3,col4,col5,col6,col7,col8
235290,GYecgSwY,&7auJKUEcPx3,tLFOXPmjKf2N,KnCEbjlc$GC6,PJm&JYl3C3Bx,J0W2^idSy1Yx,2IrARWZB7WSa,hkItCv$aSM6o,)&BbRSq#36MC
524911,rFmYIWEE,ILne6KXWs&pk,26K6fQ)HWxBQ,3xRn^l7N0@pA,^ZN9Y8BZ(V^x,S#xin#sDuTIe,Waqka*XXQ$*x,LF*3bI!e@&j#,P4IBZC8AExap
604970,yggCHCqh,66YvGNiZCZd8,)XQLUc3w@KB!,!svezJJHKr#C,p#N^HTRrpJjy,w7q#^hdztMN8,P&x)fAK#9KHq,5lW8@nP#I4D!,g(qMtq!OvsGr
254799,lmcwANZr,hO8XAc6fDh9x,&AkOLrSMfTqy,If*b6ufP05GV,P61Z#tsJeujd,)rHA(zhW*FKx,g#kPOt9^shlf,xYjooY1ZyYE#,ptb#Y24W*BAq
027282,qJCKutAa,8f(53o^Fd1zX,IezTBE%0R*#S,WB50ylgc3%8a,awF$V)VzKKih,CgILx)NyXRxO,&9nu#XjoulPB,$z!!C&x)T07I,e(Id$FA)buAh
358926,WEjvcukO,zs%v4Q*HZ8QS,8G!G3c3bl1OP,VRCgmVRz2p0*,VM17lWKv7wBl,Pcs4GEAS4f$g,^u8@tS8$Ly5r,5VOw7!einrWK,hMW2wnrfdc2U
989762,gtdeTavx,K(Cdbbxq4UAE,SWYmC*5WsPj#,$EM@A*fapePI,5BzSpdIPybJB,8RgcRpKnVhO&,q^MR6BAlLck2,!IyPnI)oyc*y,OItMqf#zFc5#
222614,HcZIdMnV,YVEV5wz^0dJd,@yF5&RSg2OT1,j!S8EA6smr1V,bZkcC8XW(in%,fs4nHlM(I87!,!tYah#oFh0eZ,#lIoeMnyWN1x,$3@XZ@ctbvQt
557445,PmGuCEwH,BetF5j7tLDMg,sbZsXI4xv^oz,wNjP1ij3P8zS,^LIQYyd$sslv,0VkgUvzDRyhM,mVNl#)h8n9*C,#0sh7XY$aOoD,Z7f$zJhCJXUl
679936,lDbWKgfT,QMPm6G)@!XPL,KZ4NAzKm4LK*,olnMlkJ9W()9,2UgGyHX7rePp,@6i3@f0RRZP&,q4)yTBB1(Z^K,2zKtWNueeI)C,%H!gIUOkD5m&
431820,BxpNkNKU,pluLFvYo$hqW,1!#jcU48TN1M,ea051$mH69mu,eeQF2RzOcamy,PZ(Yrg2Vb0Z@,8tmowgKO*UsB,q44U6$0&SnO(,um$LYQy9XVA!
026102,UKMlHfsk,RoOf*!W2Cf2m,&0)l%pMTrr*R,ZVZKI&qSz6#r,tluFN&Up1X0O,$CmMpVFJOKvB,4eN!18ZL#miY,o0$o*h!wrypp,IjQpF2^@Ucva
044267,GftuIQGk,jzE&HAzN7^OB,1S2KFdlcoHZ(,CKkZq6yP0BLz,LLyjFmKZo%H%,CAqlv5C!&eF$,Qiu1!z3P&J#&,lWKrPZ1JutZz,#98Nbxd!&Xae
363229,EsaJBvhp,iNbXVuh*ah(D,6Oo3@YtPFVwD,i)%*EysDv!7h,HtaDRbSvp%to,k1heK7J^3QFD,#oI6OV(46gR9,3nYLmMLWPuXQ,dPnvg*IL#%^C
606800,zjZUoIRH,3v#hONet46Ip,CLOEwap1q$@O,yXnbdbbD7wbW,a4SR2MhMB*u9,eeMbbeMjo0$N,cXbvCVjz0*2S,N)QWMP5OvQ@7,TyDO0VUQtKWb
101821,oECWMKid,)z8LmY6!9onX,p2R67dAK@TED,R@@A!VNNIS1r,1!G$($LH)t3G,7C^jRY&vhVbF,&AVi$W%hr)tS,bgWqUR3tH%Mr,VSto4j!DvxQ4
384746,ucmsDbIE,v8$IFR6ByzRL,8WG$N1Og)8Uq,uC*36c!s9WrS,aaKe*E#LT0Vq,%D!FD7RhCBdK,$H6*M(&REO^c,y87*II0NLo^l,owAA^jQPEUJW
698043,EbEXEaUB,*A4q(AcuQb9*,%!qUn!N832Je,fFn$%YVkf06a,Y%rIW6H9#aTE,r(&e8jPX!ay6,hYq2mM1swPez,ztrf!t!Zc^rr,Yu6LT65sX2rj
